Product Name,Category,Price per Unit (€),Price per KG (€),Unit Type,Notes
Pirkka banaani,Fruits,0.30,1.69,per piece,
Kurkku Suomi,Vegetables,0.70,1.99,per piece,approx weight
Pirkka miniluumutomaatti 250g,Vegetables,0.99,3.96,per pack,250g
Tomaatti Suomi,Vegetables,0.27,2.99,per piece,approx weight
Pirkka suomalainen jääsalaatti 100g,Vegetables,1.39,13.90,per pack,100g
Klementiini Bruno,Fruits,0.49,4.49,per piece,approx weight
Pirkka tumma siemenetön rypäle 500g,Fruits,3.69,7.38,per pack,500g
Sitruuna kg,Fruits,0.55,2.89,per piece,approx weight
Klementiini,Fruits,0.16,1.49,per piece,approx weight
Pirkka suippopaprika 200g,Vegetables,1.89,9.45,per pack,200g
Pirkka vihreä siemenetön rypäle 500g,Fruits,3.69,7.38,per pack,500g
Pirkka klementiini Espanja 1.5kg,Fruits,3.69,2.46,per pack,1500g
Pirkka persimon,Fruits,0.80,3.49,per piece,approx weight
Pirkka luomu Reilun kaupan banaani,Fruits,0.40,2.29,per piece,organic approx weight
Pirkka appelsiini,Fruits,0.56,2.09,per piece,approx weight
Pirkka päärynä Conference,Fruits,0.75,2.69,per piece,approx weight
Pirkka suomalainen pesty porkkana 1kg,Vegetables,1.09,1.09,per pack,1000g
Chiquita banaani,Fruits,0.33,1.89,per piece,approx weight
Sipuli,Vegetables,0.10,0.99,per piece,approx weight promotional
Pirkka Royal Gala omena irtomyynti,Fruits,0.40,2.49,per piece,approx weight
Pirkka syöntikypsä avokado,Fruits,1.60,7.99,per piece,approx weight
Kurkku Suomi,Vegetables,1.75,4.99,per piece,approx weight
Punasipuli Suomi,Vegetables,0.22,2.19,per piece,approx weight
Omena Red del,Fruits,0.50,2.95,per piece,approx weight
Pirkka suomalainen kurkku 300g,Vegetables,1.49,4.97,per pack,300g
Maustekurkku,Vegetables,0.77,5.95,per piece,approx weight
Järvikylä tilli ruukku Suomi,Herbs,1.79,N/A,per pack,potted
Pirkka suomalainen pesty porkkana 500g,Vegetables,0.89,1.78,per pack,500g
Lime,Fruits,0.31,3.89,per piece,approx weight
Pirkka Annabelle peruna 1kg Suomi,Vegetables,1.29,1.29,per pack,1000g
Pirkka jäävuorisalaatti ulkomainen,Vegetables,2.09,3.49,per piece,approx weight
Pirkka pensasmustikka 300g,Fruits,4.99,16.63,per pack,300g
Pirkka suomalainen kirsikkatomaatti 250g,Vegetables,1.99,7.96,per pack,250g
Pirkka kiivi 500g,Fruits,1.49,2.98,per pack,500g
Pirkka Golden Delicious omena,Fruits,0.42,2.49,per piece,approx weight
Bataatti,Vegetables,0.90,1.99,per piece,approx weight
Omena Idared,Fruits,0.20,1.25,per piece,approx weight
Pirkka paprika 300g / 2 kpl,Vegetables,2.79,9.30,per pack,300g
Pirkka espanjalainen parsakaali 400g,Vegetables,1.49,3.72,per pack,400g
Pirkka vihreä siemenetön rypäle 500g,Fruits,3.69,7.38,per pack,500g
Inkivääri,Vegetables,0.89,5.95,per piece,approx weight
Pirkka pensasmustikka 125g,Fruits,1.49,11.92,per pack,125g promotional
Pirkka syöntikypsä pikkuavokado 500g,Fruits,3.49,6.98,per pack,500g
Pirkka suomalainen kevätsipuli 100g,Vegetables,2.39,23.90,per pack,100g
Pirkka kirsikkatomaatti 250g ulkomainen,Vegetables,1.39,5.56,per pack,250g
Paprika punainen,Vegetables,0.75,4.99,per piece,approx weight
Pirkka suomalainen keltasipuli 350g,Vegetables,0.99,2.83,per pack,350g
Kirsikkatomaatti 250g Suomi,Vegetables,2.79,11.16,per pack,250g
