store,product,category,unit,price_euros
K-Citymarket,Banaani,Fruits,kg,1.69
K-Citymarket,Kurkku,Vegetables,kpl,1.99
K-Citymarket,Miniluumutomaatti,Vegetables,250g,0.99
K-Citymarket,Tomaatti,Vegetables,kg,2.99
K-Citymarket,Jääsalaatti,Vegetables,100g,1.39
K-Citymarket,Klementiini,Fruits,kg,4.49
K-Citymarket,Rypäle tumma siemenetön,Fruits,500g,3.69
K-Citymarket,Sitruuna,Fruits,kg,2.89
K-Citymarket,Suippopaprika,Vegetables,200g,1.89
K-Citymarket,Rypäle vihreä siemenetön,Fruits,500g,3.69
K-Citymarket,Persimon,Fruits,kg,3.49
K-Citymarket,Appelsiini,Fruits,kg,2.09
K-Citymarket,Päärynä Conference,Fruits,kg,2.69
K-Citymarket,Porkkana,Vegetables,1kg,1.09
K-Citymarket,Sipuli,Vegetables,kg,0.99
K-Citymarket,Omena Royal Gala,Fruits,kg,2.49
K-Citymarket,Avokado,Fruits,kpl,7.99
K-Citymarket,Punasipuli,Vegetables,kg,2.19
K-Citymarket,Omena Red Delicious,Fruits,kg,2.95
K-Citymarket,Maustekurkku,Vegetables,kpl,5.95
K-Citymarket,Lime,Fruits,kg,3.89
K-Citymarket,Peruna Annabelle,Vegetables,1kg,1.29
K-Citymarket,Jäävuorisalaatti,Vegetables,kpl,3.49
K-Citymarket,Pensasmustikka,Fruits,300g,4.99
K-Citymarket,Kirsikkatomaatti,Vegetables,250g,1.99
K-Citymarket,Kiivi,Fruits,500g,1.49
K-Citymarket,Omena Golden Delicious,Fruits,kg,2.49
K-Citymarket,Bataatti,Vegetables,kg,1.99
K-Citymarket,Omena Idared,Fruits,kg,1.25
K-Citymarket,Paprika,Vegetables,300g,2.79
K-Citymarket,Parsakaali,Vegetables,400g,1.49
K-Citymarket,Inkivääri,Vegetables,kg,5.95
K-Citymarket,Avokado pikkuavokado,Fruits,500g,3.49
K-Citymarket,Kevätsipuli,Vegetables,100g,2.39
K-Citymarket,Paprika punainen,Vegetables,kg,4.99
K-Citymarket,Sipuli keltasipuli,Vegetables,350g,0.99
K-Citymarket,Tomaatti helmitomaatti punainen pikari,Vegetables,200g,3.95
K-Citymarket,Valkosipuli,Vegetables,kg,11.49
K-Citymarket,Kesäkurpitsa,Vegetables,kg,3.49
K-Citymarket,Salaatti Juicy,Vegetables,125g,2.09
K-Citymarket,Granaattiomena,Fruits,kg,4.95
